day,rainfall_mm,date
162,0.0,2024-06-10
163,0.0,2024-06-11
164,0.0,2024-06-12
165,0.0,2024-06-13
166,0.0,2024-06-14
167,0.0,2024-06-15
168,0.0,2024-06-16
169,0.0,2024-06-17
170,0.5963302,2024-06-18
171,6.5596323,2024-06-19
172,7.791714,2024-06-20
173,0.0,2024-06-21
174,0.0,2024-06-22
175,0.0,2024-06-23
176,0.0,2024-06-24
177,6.971496,2024-06-25
178,5.720372,2024-06-26
179,0.27671614,2024-06-27
180,3.1783397,2024-06-28
181,6.6925735,2024-06-29
182,4.3017244,2024-06-30
183,2.2320945,2024-07-01
184,1.7889909,2024-07-02
185,5.581248,2024-07-03
186,24.599932,2024-07-04
187,20.580229,2024-07-05
188,38.34714,2024-07-06
189,4.3204217,2024-07-07
190,13.215202,2024-07-08
191,0.0,2024-07-09
192,0.0,2024-07-10
193,1.1926605,2024-07-11
194,1.8831911,2024-07-12
195,0.5782978,2024-07-13
196,0.35674587,2024-07-14
197,4.79924,2024-07-15
198,22.88097,2024-07-16
199,0.12298496,2024-07-17
200,0.0,2024-07-18
201,0.5963302,2024-07-19
202,4.0577693,2024-07-20
203,6.389831,2024-07-21
204,22.737667,2024-07-22
205,1.1590025,2024-07-23
206,11.230253,2024-07-24
207,4.0662594,2024-07-25
208,10.43578,2024-07-26
209,26.938898,2024-07-27
210,15.6069565,2024-07-28
211,13.631373,2024-07-29
212,8.71347,2024-07-30
213,1.8573161,2024-07-31
214,33.155327,2024-08-01
215,3.8761468,2024-08-02
216,16.830702,2024-08-03
217,1.5249883,2024-08-04
218,18.527277,2024-08-05
219,11.656007,2024-08-06
220,24.425768,2024-08-07
221,5.529498,2024-08-08
222,40.05794,2024-08-09
223,14.765241,2024-08-10
224,26.733784,2024-08-11
225,4.7227316,2024-08-12
226,3.339854,2024-08-13
227,1.4886423,2024-08-14
228,16.778275,2024-08-15
229,0.3014921,2024-08-16
230,9.681338,2024-08-17
231,0.0,2024-08-18
232,0.8261064,2024-08-19
233,25.988401,2024-08-20
234,10.030657,2024-08-21
235,0.0,2024-08-22
236,8.050459,2024-08-23
237,3.4120984,2024-08-24
238,4.700121,2024-08-25
239,1.6026111,2024-08-26
240,12.090841,2024-08-27
241,41.960384,2024-08-28
242,10.964931,2024-08-29
243,13.289889,2024-08-30
244,0.0,2024-08-31
245,0.0,2024-09-01
246,13.331308,2024-09-02
247,10.877897,2024-09-03
248,19.954279,2024-09-04
249,1.1160473,2024-09-05
250,23.79512,2024-09-06
251,7.445395,2024-09-07
252,0.0,2024-09-08
253,0.0,2024-09-09
254,13.353368,2024-09-10
255,4.9295707,2024-09-11
256,8.237787,2024-09-12
257,29.219286,2024-09-13
258,12.767504,2024-09-14
259,0.0,2024-09-15
260,0.6646557,2024-09-16
261,0.0,2024-09-17
262,10.068102,2024-09-18
263,3.2400892,2024-09-19
264,0.0,2024-09-20
265,0.0,2024-09-21
266,0.0,2024-09-22
267,0.17889908,2024-09-23
268,0.0,2024-09-24
269,0.0,2024-09-25
270,7.1588717,2024-09-26
271,5.963302,2024-09-27
272,0.55387974,2024-09-28
273,0.0,2024-09-29
274,0.0,2024-09-30
275,0.0,2024-10-01
276,0.0,2024-10-02
277,0.0,2024-10-03
278,0.0,2024-10-04
279,0.0,2024-10-05
280,0.0,2024-10-06
281,0.0,2024-10-07
282,0.0,2024-10-08
283,0.0,2024-10-09
284,0.0,2024-10-10
285,0.0,2024-10-11
286,0.0,2024-10-12
287,0.0,2024-10-13
288,0.0,2024-10-14
289,0.0,2024-10-15
290,0.0,2024-10-16
291,0.0,2024-10-17
292,0.0,2024-10-18
293,0.0,2024-10-19
294,0.0,2024-10-20
295,0.0,2024-10-21
296,0.0,2024-10-22
297,0.0,2024-10-23
298,0.0,2024-10-24
299,0.0,2024-10-25
300,0.0,2024-10-26
301,0.0,2024-10-27
302,0.0,2024-10-28
303,0.0,2024-10-29
304,0.0,2024-10-30
305,0.0,2024-10-31
306,0.0,2024-11-01
307,0.0,2024-11-02
308,0.0,2024-11-03
309,0.0,2024-11-04
310,0.0,2024-11-05
311,0.0,2024-11-06
312,0.0,2024-11-07
313,0.0,2024-11-08
314,0.0,2024-11-09
315,0.0,2024-11-10
316,0.0,2024-11-11
317,0.0,2024-11-12
318,0.0,2024-11-13
319,0.0,2024-11-14
320,0.0,2024-11-15
321,0.0,2024-11-16
322,0.0,2024-11-17
323,0.0,2024-11-18
324,0.0,2024-11-19
325,0.0,2024-11-20
326,0.0,2024-11-21
327,0.0,2024-11-22
328,0.0,2024-11-23
329,0.0,2024-11-24
330,0.0,2024-11-25
331,0.0,2024-11-26
332,0.0,2024-11-27
333,0.0,2024-11-28
334,0.0,2024-11-29
335,0.0,2024-11-30
336,0.0,2024-12-01
337,0.0,2024-12-02
338,0.0,2024-12-03
339,0.0,2024-12-04
340,0.0,2024-12-05
341,0.0,2024-12-06
342,0.0,2024-12-07
343,0.0,2024-12-08
344,0.0,2024-12-09
345,0.0,2024-12-10
346,0.0,2024-12-11
347,0.0,2024-12-12
348,0.0,2024-12-13
349,0.0,2024-12-14
350,0.0,2024-12-15
351,0.0,2024-12-16
352,0.0,2024-12-17
353,0.0,2024-12-18
354,0.0,2024-12-19
355,0.0,2024-12-20
356,0.0,2024-12-21
357,0.0,2024-12-22
358,0.0,2024-12-23
359,3.7969854,2024-12-24
360,2.2366726,2024-12-25
361,0.0,2024-12-26
362,0.0,2024-12-27
363,11.859417,2024-12-28
364,8.241344,2024-12-29
365,0.0,2024-12-30
366,0.0,2024-12-31
